split,variant,typology,rings,caught,ring_recall,alert_budget
HI-Small,txn_with_format,BIPARTITE,18,7,0.3888888888888889,0.001
HI-Small,txn_with_format,CYCLE,32,10,0.3125,0.001
HI-Small,txn_with_format,FAN-IN,25,13,0.52,0.001
HI-Small,txn_with_format,FAN-OUT,24,12,0.5,0.001
HI-Small,txn_with_format,GATHER-SCATTER,40,17,0.425,0.001
HI-Small,txn_with_format,RANDOM,24,8,0.3333333333333333,0.001
HI-Small,txn_with_format,SCATTER-GATHER,30,15,0.5,0.001
HI-Small,txn_with_format,STACK,25,14,0.56,0.001
HI-Small,txn_without_format,BIPARTITE,18,2,0.1111111111111111,0.001
HI-Small,txn_without_format,CYCLE,32,0,0.0,0.001
HI-Small,txn_without_format,FAN-IN,25,0,0.0,0.001
HI-Small,txn_without_format,FAN-OUT,24,2,0.08333333333333333,0.001
HI-Small,txn_without_format,GATHER-SCATTER,40,3,0.075,0.001
HI-Small,txn_without_format,RANDOM,24,2,0.08333333333333333,0.001
HI-Small,txn_without_format,SCATTER-GATHER,30,0,0.0,0.001
HI-Small,txn_without_format,STACK,25,1,0.04,0.001
HI-Small,graph_with_format,BIPARTITE,18,8,0.4444444444444444,0.001
HI-Small,graph_with_format,CYCLE,32,12,0.375,0.001
HI-Small,graph_with_format,FAN-IN,25,4,0.16,0.001
HI-Small,graph_with_format,FAN-OUT,24,13,0.5416666666666666,0.001
HI-Small,graph_with_format,GATHER-SCATTER,40,17,0.425,0.001
HI-Small,graph_with_format,RANDOM,24,8,0.3333333333333333,0.001
HI-Small,graph_with_format,SCATTER-GATHER,30,17,0.5666666666666667,0.001
HI-Small,graph_with_format,STACK,25,10,0.4,0.001
HI-Small,graph_without_format,BIPARTITE,18,6,0.3333333333333333,0.001
HI-Small,graph_without_format,CYCLE,32,4,0.125,0.001
HI-Small,graph_without_format,FAN-IN,25,6,0.24,0.001
HI-Small,graph_without_format,FAN-OUT,24,14,0.5833333333333334,0.001
HI-Small,graph_without_format,GATHER-SCATTER,40,20,0.5,0.001
HI-Small,graph_without_format,RANDOM,24,5,0.20833333333333334,0.001
HI-Small,graph_without_format,SCATTER-GATHER,30,19,0.6333333333333333,0.001
HI-Small,graph_without_format,STACK,25,8,0.32,0.001
LI-Small,txn_with_format,BIPARTITE,8,4,0.5,0.001
LI-Small,txn_with_format,CYCLE,10,4,0.4,0.001
LI-Small,txn_with_format,FAN-IN,6,2,0.3333333333333333,0.001
LI-Small,txn_with_format,FAN-OUT,10,4,0.4,0.001
LI-Small,txn_with_format,GATHER-SCATTER,8,7,0.875,0.001
LI-Small,txn_with_format,RANDOM,8,3,0.375,0.001
LI-Small,txn_with_format,SCATTER-GATHER,9,4,0.4444444444444444,0.001
LI-Small,txn_with_format,STACK,9,6,0.6666666666666666,0.001
LI-Small,txn_without_format,BIPARTITE,8,0,0.0,0.001
LI-Small,txn_without_format,CYCLE,10,1,0.1,0.001
LI-Small,txn_without_format,FAN-IN,6,0,0.0,0.001
LI-Small,txn_without_format,FAN-OUT,10,0,0.0,0.001
LI-Small,txn_without_format,GATHER-SCATTER,8,1,0.125,0.001
LI-Small,txn_without_format,RANDOM,8,0,0.0,0.001
LI-Small,txn_without_format,SCATTER-GATHER,9,0,0.0,0.001
LI-Small,txn_without_format,STACK,9,1,0.1111111111111111,0.001
LI-Small,graph_with_format,BIPARTITE,8,3,0.375,0.001
LI-Small,graph_with_format,CYCLE,10,2,0.2,0.001
LI-Small,graph_with_format,FAN-IN,6,1,0.16666666666666666,0.001
LI-Small,graph_with_format,FAN-OUT,10,6,0.6,0.001
LI-Small,graph_with_format,GATHER-SCATTER,8,5,0.625,0.001
LI-Small,graph_with_format,RANDOM,8,1,0.125,0.001
LI-Small,graph_with_format,SCATTER-GATHER,9,2,0.2222222222222222,0.001
LI-Small,graph_with_format,STACK,9,1,0.1111111111111111,0.001
LI-Small,graph_without_format,BIPARTITE,8,1,0.125,0.001
LI-Small,graph_without_format,CYCLE,10,2,0.2,0.001
LI-Small,graph_without_format,FAN-IN,6,0,0.0,0.001
LI-Small,graph_without_format,FAN-OUT,10,6,0.6,0.001
LI-Small,graph_without_format,GATHER-SCATTER,8,3,0.375,0.001
LI-Small,graph_without_format,RANDOM,8,1,0.125,0.001
LI-Small,graph_without_format,SCATTER-GATHER,9,1,0.1111111111111111,0.001
LI-Small,graph_without_format,STACK,9,2,0.2222222222222222,0.001
