split,variant,alert_budget,alerts,test_transactions,test_laundering,laundering_in_alerts,txn_recall,precision,rings_evaluable,rings_not_evaluable,precision_lo,precision_hi,ring_recall_at_least_1,ring_recall_at_least_1_lo,ring_recall_at_least_1_hi,ring_recall_at_least_2,ring_recall_at_least_2_lo,ring_recall_at_least_2_hi,ring_recall_at_least_half,ring_recall_at_least_half_lo,ring_recall_at_least_half_hi
HI-Small,txn_with_format,0.001,1523,1523171,1666,181,0.10864345738295318,0.11884438608010506,218,152,0.103086014445174,0.1346027577150361,0.44036697247706424,0.3761467889908257,0.5045871559633027,0.21559633027522937,0.1651376146788991,0.27522935779816515,0.14678899082568808,0.10091743119266056,0.19724770642201836
HI-Small,txn_with_format,0.005,7616,1523171,1666,415,0.24909963985594238,0.054490546218487396,218,152,0.04949776785714286,0.05934873949579832,0.7431192660550459,0.6834862385321101,0.7981651376146789,0.39908256880733944,0.3348623853211009,0.46341743119265993,0.43577981651376146,0.3669724770642202,0.5
HI-Small,txn_with_format,0.01,15232,1523171,1666,520,0.31212484993997597,0.03413865546218487,218,152,0.0313813025210084,0.03715861344537815,0.7889908256880734,0.7338302752293581,0.8440366972477065,0.47706422018348627,0.4127293577981654,0.5412844036697247,0.5045871559633027,0.44036697247706424,0.573394495412844
HI-Small,txn_without_format,0.001,1523,1523171,1666,10,0.006002400960384154,0.006565988181221274,218,152,0.003282994090610637,0.011162179908076166,0.045871559633027525,0.01834862385321101,0.0779816513761468,0.0,0.0,0.0,0.01834862385321101,0.0045871559633027525,0.03669724770642202
HI-Small,txn_without_format,0.005,7616,1523171,1666,101,0.06062424969987995,0.01326155462184874,218,152,0.01076352415966387,0.0160221901260504,0.3256880733944954,0.26605504587155965,0.38990825688073394,0.08256880733944955,0.05045871559633028,0.12385321100917432,0.10550458715596331,0.06422018348623854,0.14678899082568808
HI-Small,txn_without_format,0.01,15232,1523171,1666,176,0.1056422569027611,0.011554621848739496,218,152,0.009911699054621852,0.01326155462184874,0.4541284403669725,0.38520642201834887,0.5229357798165137,0.17889908256880735,0.12844036697247707,0.22935779816513763,0.18807339449541285,0.13761467889908258,0.23853211009174313
HI-Small,graph_with_format,0.001,1523,1523171,1666,173,0.10384153661464586,0.11359159553512804,218,152,0.09781680892974395,0.13002298095863418,0.40825688073394495,0.3486238532110092,0.47706422018348627,0.13761467889908258,0.0963302752293578,0.1834862385321101,0.26146788990825687,0.20642201834862386,0.3165137614678899
HI-Small,graph_with_format,0.005,7616,1523171,1666,303,0.18187274909963985,0.039784663865546216,218,152,0.03558298319327731,0.04438353466386553,0.4954128440366973,0.42660550458715596,0.5596330275229358,0.1926605504587156,0.13761467889908258,0.24770642201834864,0.29357798165137616,0.23394495412844038,0.3532110091743119
HI-Small,graph_with_format,0.01,15232,1523171,1666,495,0.29711884753901563,0.032497373949579834,218,152,0.02967436974789916,0.035386029411764705,0.6192660550458715,0.5504587155963303,0.6834862385321101,0.3440366972477064,0.2798165137614679,0.40825688073394495,0.3944954128440367,0.3302752293577982,0.45871559633027525
HI-Small,graph_without_format,0.001,1523,1523171,1666,165,0.09903961584633854,0.10833880499015101,218,152,0.09323703217334209,0.12409717662508207,0.3761467889908257,0.3119266055045872,0.44036697247706424,0.15137614678899083,0.10550458715596331,0.19724770642201836,0.20642201834862386,0.15137614678899083,0.26146788990825687
