split,day,transactions,laundering,laundering_pct
HI-Small,2022-09-01,1114921,322.0,0.0289
HI-Small,2022-09-02,754449,408.0,0.0541
HI-Small,2022-09-03,207382,391.0,0.1885
HI-Small,2022-09-04,207430,407.0,0.1962
HI-Small,2022-09-05,482650,471.0,0.0976
HI-Small,2022-09-06,482089,531.0,0.1101
HI-Small,2022-09-07,482751,497.0,0.103
HI-Small,2022-09-08,482773,539.0,0.1116
HI-Small,2022-09-09,654467,514.0,0.0785
HI-Small,2022-09-10,208325,442.0,0.2122
HI-Small,2022-09-11,396,232.0,58.5859
HI-Small,2022-09-12,281,170.0,60.4982
HI-Small,2022-09-13,184,106.0,57.6087
HI-Small,2022-09-14,121,70.0,57.8512
HI-Small,2022-09-15,46,28.0,60.8696
HI-Small,2022-09-16,46,26.0,56.5217
HI-Small,2022-09-17,23,15.0,65.2174
HI-Small,2022-09-18,11,8.0,72.7273
LI-Small,2022-09-01,1524807,310.0,0.0203
LI-Small,2022-09-02,1027758,350.0,0.0341
LI-Small,2022-09-03,283326,292.0,0.1031
LI-Small,2022-09-04,282476,291.0,0.103
LI-Small,2022-09-05,657397,370.0,0.0563
LI-Small,2022-09-06,657170,380.0,0.0578
LI-Small,2022-09-07,658504,368.0,0.0559
LI-Small,2022-09-08,657938,402.0,0.0611
LI-Small,2022-09-09,891573,367.0,0.0412
LI-Small,2022-09-10,282877,301.0,0.1064
LI-Small,2022-09-11,77,47.0,61.039
LI-Small,2022-09-12,48,27.0,56.25
LI-Small,2022-09-13,48,29.0,60.4167
LI-Small,2022-09-14,31,18.0,58.0645
LI-Small,2022-09-15,9,6.0,66.6667
LI-Small,2022-09-16,7,5.0,71.4286
LI-Small,2022-09-17,3,2.0,66.6667
