ring_key,typology,ring_size,span_days,distinct_senders,distinct_receivers,distinct_formats,first_ts,last_ts,distinct_accounts,distinct_currencies,split
HI-Small::0,FAN-OUT,16,3.654166666666667,1,16,1,2022-09-01 00:06:00,2022-09-04 15:48:00,17,3,HI-Small
HI-Small::55,BIPARTITE,11,1.6104166666666666,11,11,1,2022-09-02 10:52:00,2022-09-04 01:31:00,22,3,HI-Small
HI-Small::56,STACK,12,3.9923611111111112,12,12,1,2022-09-02 11:44:00,2022-09-06 11:33:00,18,6,HI-Small
HI-Small::117,FAN-OUT,7,2.5590277777777777,1,7,1,2022-09-04 04:26:00,2022-09-06 17:51:00,8,3,HI-Small
HI-Small::119,STACK,2,1.84375,2,2,1,2022-09-05 16:51:00,2022-09-07 13:06:00,2,1,HI-Small
HI-Small::210,FAN-IN,11,3.6125,11,1,1,2022-09-06 17:05:00,2022-09-10 07:47:00,12,1,HI-Small
HI-Small::211,FAN-OUT,16,3.0590277777777777,1,16,1,2022-09-06 17:08:00,2022-09-09 18:33:00,17,6,HI-Small
HI-Small::212,SCATTER-GATHER,16,3.9298611111111112,9,9,1,2022-09-06 17:24:00,2022-09-10 15:43:00,10,5,HI-Small
HI-Small::214,GATHER-SCATTER,21,6.95625,16,7,1,2022-09-06 17:35:00,2022-09-13 16:32:00,22,3,HI-Small
HI-Small::273,FAN-IN,10,3.910416666666667,10,1,1,2022-09-08 11:27:00,2022-09-12 09:18:00,11,1,HI-Small
HI-Small::3,STACK,22,3.4381944444444446,22,22,1,2022-09-01 08:40:00,2022-09-04 19:11:00,33,7,HI-Small
HI-Small::172,BIPARTITE,7,1.7604166666666667,7,7,1,2022-09-05 19:41:00,2022-09-07 13:56:00,14,1,HI-Small
HI-Small::259,STACK,10,4.311111111111111,10,10,2,2022-09-08 11:04:00,2022-09-12 18:32:00,16,3,HI-Small
HI-Small::304,FAN-IN,13,3.75625,13,1,1,2022-09-09 11:24:00,2022-09-13 05:33:00,14,1,HI-Small
HI-Small::20,FAN-IN,2,3.313888888888889,2,1,1,2022-09-01 08:29:00,2022-09-04 16:01:00,3,1,HI-Small
HI-Small::76,GATHER-SCATTER,13,5.842361111111111,11,4,1,2022-09-02 22:54:00,2022-09-08 19:07:00,14,2,HI-Small
HI-Small::141,STACK,28,4.589583333333334,28,28,1,2022-09-04 21:58:00,2022-09-09 12:07:00,42,8,HI-Small
HI-Small::143,SCATTER-GATHER,26,3.704861111111111,14,14,1,2022-09-04 22:27:00,2022-09-08 15:22:00,15,6,HI-Small
HI-Small::144,STACK,2,2.8291666666666666,2,2,1,2022-09-06 13:42:00,2022-09-09 09:36:00,2,1,HI-Small
HI-Small::241,BIPARTITE,13,1.6277777777777778,13,13,1,2022-09-07 12:01:00,2022-09-09 03:05:00,26,6,HI-Small
HI-Small::242,FAN-OUT,2,2.579861111111111,1,2,1,2022-09-07 10:23:00,2022-09-10 00:18:00,3,1,HI-Small
HI-Small::294,CYCLE,10,2.870138888888889,10,10,1,2022-09-09 03:13:00,2022-09-12 00:06:00,10,1,HI-Small
HI-Small::12,FAN-IN,2,3.50625,2,1,1,2022-09-01 04:47:00,2022-09-04 16:56:00,3,1,HI-Small
HI-Small::50,FAN-OUT,4,3.079861111111111,1,4,1,2022-09-02 05:24:00,2022-09-05 07:19:00,5,1,HI-Small
HI-Small::223,FAN-OUT,1,0.0,1,1,1,2022-09-07 00:21:00,2022-09-07 00:21:00,2,1,HI-Small
HI-Small::296,SCATTER-GATHER,2,2.48125,2,2,1,2022-09-09 05:39:00,2022-09-11 17:12:00,2,1,HI-Small
HI-Small::25,BIPARTITE,11,1.929861111111111,11,11,1,2022-09-01 10:33:00,2022-09-03 08:52:00,22,4,HI-Small
HI-Small::84,FAN-OUT,2,2.7104166666666667,1,2,1,2022-09-03 02:20:00,2022-09-05 19:23:00,3,1,HI-Small
HI-Small::87,RANDOM,1,0.0,1,1,1,2022-09-03 03:30:00,2022-09-03 03:30:00,2,1,HI-Small
HI-Small::90,FAN-IN,16,3.6180555555555554,16,1,1,2022-09-03 04:32:00,2022-09-06 19:22:00,17,1,HI-Small
HI-Small::96,BIPARTITE,1,0.0,1,1,1,2022-09-05 08:25:00,2022-09-05 08:25:00,2,1,HI-Small
HI-Small::247,CYCLE,5,1.101388888888889,5,5,1,2022-09-07 16:53:00,2022-09-08 19:19:00,5,4,HI-Small
HI-Small::250,FAN-IN,8,3.770138888888889,8,1,1,2022-09-07 18:03:00,2022-09-11 12:32:00,9,1,HI-Small
HI-Small::311,FAN-OUT,1,0.0,1,1,1,2022-09-09 15:30:00,2022-09-09 15:30:00,2,1,HI-Small
HI-Small::315,FAN-OUT,11,3.001388888888889,1,11,1,2022-09-09 18:12:00,2022-09-12 18:14:00,12,4,HI-Small
HI-Small::102,CYCLE,3,2.922222222222222,3,3,1,2022-09-03 15:36:00,2022-09-06 13:44:00,3,1,HI-Small
HI-Small::105,FAN-IN,5,3.5305555555555554,5,1,1,2022-09-03 17:21:00,2022-09-07 06:05:00,6,1,HI-Small
HI-Small::113,BIPARTITE,2,0.9256944444444445,2,2,1,2022-09-04 14:28:00,2022-09-05 12:41:00,4,2,HI-Small
HI-Small::193,RANDOM,4,2.2527777777777778,4,4,1,2022-09-06 06:29:00,2022-09-08 12:33:00,5,3,HI-Small
HI-Small::318,FAN-OUT,8,3.761111111111111,1,8,1,2022-09-09 18:41:00,2022-09-13 12:57:00,9,3,HI-Small
HI-Small::160,FAN-IN,1,0.0,1,1,1,2022-09-05 07:32:00,2022-09-05 07:32:00,2,1,HI-Small
HI-Small::216,RANDOM,1,0.0,1,1,1,2022-09-06 19:19:00,2022-09-06 19:19:00,2,1,HI-Small
HI-Small::219,CYCLE,7,2.026388888888889,7,7,1,2022-09-06 20:25:00,2022-09-08 21:03:00,7,5,HI-Small
HI-Small::333,SCATTER-GATHER,32,3.7888888888888888,17,17,1,2022-09-10 02:46:00,2022-09-13 21:42:00,18,6,HI-Small
HI-Small::68,CYCLE,2,0.7506944444444444,2,2,1,2022-09-02 17:50:00,2022-09-03 11:51:00,2,1,HI-Small
HI-Small::359,GATHER-SCATTER,26,7.659722222222222,14,14,1,2022-09-10 18:05:00,2022-09-18 09:55:00,27,8,HI-Small
